ccq_builds_in_sonar_period,sonar_start_date,sonar_end_date,sonar_duration,project,median_bugs,median_vulnerabilities,median_code_smells,median_sqale_index,median_sqale_ratio,median_duplicated_lines_density,median_coverage,median_ncloc,last_ncloc,max_ncloc,median_bugs_density,median_vulnerabilities_density,median_code_smells_density,median_ci_time_running,max_ci_time_running,median_ci_duration,max_ci_duration,median_ci_time_to_fix,max_ci_time_to_fix,ci_builds_failures,ci_builds_in_sonar_period,ci_builds_total_activity_days,ccq_ratio_activity,ci_builds_activity,commits_activity,cov_quantile,citime_quantile,time_to_fix_quantile,ci_activity_quantile
448,2017-12-19T15:59:22+0100,2019-07-29T02:50:41+0200,586,trellis-ldp/trellis,0,0,8.5,0,0,0,99.35,8929.5,10318,10318,0,0,0.00122364261142273,665,2132,1610,7198,1485,168164,77,1147,177,2.56026785714286,0.302047781569966,0,4,4,2,2
112,2018-03-11T09:56:34+0100,2019-07-08T19:04:22+0200,484,dwenzel/t3events,0,0,277.5,3697.5,0.8,0,77.1,15000,15181,15181,0,0,0.0187282332485002,160,485,233.5,908,1641,383080,32,192,50,1.71428571428571,0.103305785123967,0,2,2,2,1
192,2019-04-06T14:00:31+0200,2019-07-26T08:25:50+0200,110,resilience4j/resilience4j,2.5,1,186,2464.5,0.5,3.2,82.4,16473.5,16794,16794,0.000151906934934023,6.07459603936338e-05,0.0111604464178567,999.5,1852,1019,2796,2589,152090,109,582,78,3.03125,0.709090909090909,0,3,4,3,3
120,2019-01-28T14:02:09+0100,2019-07-22T17:02:32+0200,175,CJSCommonPlatform/cake-shop,8,0,40,491,0.3,2.6,58,4951,4993,4993,0.00161583518481115,0,0.00793808295296686,434,1133,429,1133,642.5,172445,44,358,65,2.98333333333333,0.371428571428571,0,2,4,1,2
88,2019-03-14T17:22:48+0100,2019-07-30T07:51:48+0200,137,thecampagnards/docktor,1,0,52,421,0.1,1.8,1.8,10979,10980,10980,9.1082976591675e-05,0,0.0047363147827671,369.5,1425,598,1621,1092,226200,123,826,94,9.38636363636364,0.686131386861314,0,1,3,2,3
168,2018-01-19T11:55:33+0100,2019-07-17T13:26:26+0200,544,CJSCommonPlatform/stream-transformation-tool,3,0,35,643,0.8,2.7,84.7,2196,3085,3085,0.000972447325769854,0,0.0158833063209076,432,936,431,936,1513,523568,77,409,62,2.43452380952381,0.113970588235294,0,3,4,2,1
24,2019-01-14T08:40:30+0100,2019-07-08T09:50:54+0200,175,amitnema/elasticsearch-elixir,1,0,4,27,0.1,0,45.2,1527,1559,1559,0.000654878847413229,0,0.00256574727389352,277.5,483,278,722,134506,606910,27,52,7,2.16666666666667,0.04,0,1,3,4,1
120,2019-04-03T22:40:51+0200,2019-06-27T17:36:13+0200,84,JanMalch/kino,0,0,24,305,0.3,2.4,88.4,4677,4691,4691,0,0,0.00722942802466511,204.5,617,202,617,1732,240649,60,562,54,4.68333333333333,0.642857142857143,0,3,2,2,3
112,2019-02-20T16:14:27+0100,2019-07-30T14:54:10+0200,159,hmcts/rpa-em-ccd-orchestrator,0,0,27.5,152,0.4,0,88.05,1256.5,1616,1616,0,0,0.0206361856622486,224,706,221,706,4499.5,1183925,47,301,54,2.6875,0.339622641509434,0,3,2,3,2
192,2018-10-31T12:22:28+0100,2019-07-22T16:00:33+0200,264,CJSCommonPlatform/event-store,4,1,50,566,0.2,0.75,75.45,7742.5,9701,9701,0.000574797812041897,0.000127663740031648,0.0062919054526503,404,3000,401,3000,1346.5,253657,107,1169,128,6.08854166666667,0.484848484848485,0,2,3,2,3
